ID,neighbourhood_id,quarter,Score_avg
12876758,3,4,5.82
12876833,1,4,5.86
12877365,71,4,6.12
12877003,38,4,5.9
12877755,33,4,5.88
12879013,7,4,5.6
12877976,66,4,6.06
12878616,40,4,5.96
12879098,73,4,6.0
12876457,49,4,6.13
12877395,28,4,5.69
12879725,41,4,5.84
12876265,25,4,5.88
12876428,53,4,5.99
12894123,8,4,5.62
12877673,43,4,6.1
12897046,13,4,5.93
12876384,63,4,5.91
12876232,24,4,5.62
12876164,61,4,6.24
12876362,29,4,6.02
12876811,16,4,5.71
12876195,23,4,5.74
12876175,26,4,5.98
12876191,6,4,5.64
12876169,30,4,6.06
12877040,31,4,6.03
12880467,44,4,6.04
12876369,32,4,5.6
12876857,21,4,5.8
12876339,57,4,5.44
12876183,42,4,6.07
12876346,64,4,5.56
12876240,68,4,6.23
12876821,69,4,6.11
12876341,56,4,5.73
12876331,70,4,5.81
12876254,22,4,5.6
12876225,27,4,6.07
12878917,52,4,5.9
12879829,14,4,5.96
12876333,65,4,5.76
12876360,67,4,6.17
12876440,77,4,5.87
12876209,51,4,6.19
12876268,10,4,5.52
12876267,58,4,6.13
12876276,17,4,5.26
12876516,2,4,5.9
12876561,72,4,5.79
12876289,46,4,6.02
12876640,45,4,5.86
12876365,39,4,6.04
27156,18,4,5.63
12877188,12,4,5.52
12876367,59,4,6.13
12876700,54,4,6.04
12877455,4,4,5.77
12876881,19,4,5.75
12878349,76,4,5.84
12884187,35,4,5.86
12876519,15,4,5.61
12876637,75,4,5.91
12904380,5,4,5.51
12876695,34,4,5.92
12876727,20,4,5.72
12888742,62,4,5.63
12876689,11,4,5.48
12877140,50,4,5.71
12881990,55,4,5.95
12877035,48,4,5.98
12879694,60,4,6.0
12877026,74,4,5.25
12882390,9,4,5.85
12877643,37,4,5.8
12877678,36,4,6.01
12878375,47,4,5.91
12938772,68,1,6.06
13140855,46,1,6.02
12976707,49,1,6.03
13222722,77,1,5.57
13223672,28,1,5.69
13239074,42,1,6.07
13010320,23,1,5.64
13249036,24,1,5.74
12961516,44,1,6.0
12938493,71,1,5.89
13010193,70,1,5.75
12938313,16,1,5.65
12938782,72,1,5.61
12941763,66,1,5.77
12938456,31,1,5.89
12976838,7,1,5.57
12938324,32,1,5.63
12955086,67,1,6.06
12950981,15,1,5.38
12939066,43,1,6.02
12939059,27,1,5.93
12986014,11,1,5.6
12942208,38,1,5.97
12939149,56,1,5.61
12963609,25,1,5.81
12983765,33,1,5.65
13033546,3,1,5.8
12938630,61,1,5.97
13027741,53,1,5.99
12938947,75,1,5.85
12938869,54,1,6.15
12996757,4,1,5.75
12939112,2,1,5.75
12940789,69,1,6.04
12989036,8,1,5.53
13032691,63,1,5.9
12939980,51,1,5.8
12947687,45,1,5.97
13005244,19,1,5.47
13078152,73,1,5.9
13074653,22,1,5.63
13123755,29,1,5.86
13068614,41,1,5.62
13047563,6,1,5.46
13081104,35,1,5.67
12940135,13,1,5.62
13021010,40,1,6.1
12938879,5,1,5.71
12969087,64,1,5.51
12942849,60,1,5.68
13004705,14,1,5.88
13052319,30,1,5.97
12938378,12,1,5.53
12940660,48,1,5.99
12941482,26,1,5.61
12938325,17,1,5.43
12940914,36,1,5.62
12940477,58,1,5.74
12938511,1,1,5.73
12939199,55,1,6.02
12938758,47,1,6.14
12939198,39,1,5.76
12938447,10,1,5.45
12938541,20,1,5.75
12938451,37,1,6.15
12946480,18,1,5.66
12938499,62,1,6.07
12939474,65,1,5.75
12938729,21,1,5.76
